TW,No,No,DL,No,No,No,TW,No,No,No,DL,No,No,TW
No,DW,No,No,No,TL,No,No,No,TL,No,No,No,DW,No
No,No,DW,No,No,No,DL,No,DL,No,No,No,DW,No,No
DL,No,No,DW,No,No,No,DL,No,No,No,DW,No,No,DL
No,No,No,No,DW,No,No,No,No,No,DW,No,No,No,No
No,TL,No,No,No,TL,No,No,No,TL,No,No,No,TL,No
No,No,DL,No,No,No,DL,No,DL,No,No,No,DL,No,No
TW,No,No,DL,No,No,No,Star,No,No,No,DL,No,No,TW
No,No,DL,No,No,No,DL,No,DL,No,No,No,DL,No,No
No,TL,No,No,No,TL,No,No,No,TL,No,No,No,TL,No
No,No,No,No,DW,No,No,No,No,No,DW,No,No,No,No
DL,No,No,DW,No,No,No,DL,No,No,No,DW,No,No,DL
No,No,DW,No,No,No,DL,No,DL,No,No,No,DW,No,No
No,DW,No,No,No,TL,No,No,No,TL,No,No,No,DW,No
TW,No,No,DL,No,No,No,TW,No,No,No,DL,No,No,TW